,index,l,m,ans_r,err_r,ans_i,err_i
68,2,11,2,-0.00018402066065107352,1.4869594320237491e-08,-7.792606717272205e-05,1.4858959831791653e-08
69,3,11,3,-9.566239002326567e-06,1.4781871098650792e-08,-1.7957995913427208e-05,1.4876429060968387e-08
70,4,11,4,-2.106838265076025e-07,1.4511426575038571e-08,-1.7322998725461428e-06,1.3456071813366793e-08
71,5,11,5,-2.0071488279973879e-07,1.459184603535263e-08,-2.9320982180847486e-08,1.458246780103231e-08
72,6,11,6,1.1758619837905324e-08,1.4898353741580365e-08,-7.21955310102174e-10,1.4685185565748822e-08
73,7,11,7,3.825329914711976e-09,1.10333563356752e-08,-3.5406053878002316e-09,1.173515877368362e-08
74,8,11,8,1.8165629806849055e-10,1.3718388836822568e-09,-1.8186610540728505e-10,1.406979781749453e-09
75,9,11,9,2.145443518800246e-11,2.0346637607609426e-10,2.8554128874294897e-11,2.1462850631448972e-10
76,10,11,10,2.973188198283058e-12,4.929558495553904e-11,5.9353463882261815e-12,5.850518489985545e-11
77,11,11,11,5.86412066962857e-13,7.841196827238983e-12,-1.171027810731043e-12,8.33120308877081e-12
78,0,12,0,-0.0024535458192824723,1.7657173819293964e-08,0.0,0.0
79,1,12,1,-0.0019710081839122767,1.4883703395334404e-08,0.0005155664507050939,1.4885641545732037e-08
80,2,12,2,4.4783436819265304e-05,1.4697382251816017e-08,-2.4684586653778276e-05,1.4899915878102604e-08
81,3,12,3,-8.756317497699666e-06,1.4866768015946456e-08,3.3416488977634987e-07,1.4760703273794629e-08
82,4,12,4,5.859615735706497e-07,5.362145800995107e-09,4.002886318163812e-07,1.4213215507379103e-08
83,5,12,5,2.201736671828806e-08,1.484747473134381e-08,1.1008975391698389e-08,1.470440463706383e-08
84,6,12,6,-1.0931704381190164e-08,1.473573774306275e-08,-9.288105877033157e-10,1.4179239853821432e-08
85,7,12,7,9.179908644604441e-11,8.268079682007714e-09,-2.009187116003858e-11,7.087517218353948e-09
86,8,12,8,-1.3293588736632168e-10,5.88933974563569e-10,-1.2100179408107614e-10,6.158738312576869e-10
87,9,12,9,5.960947867393489e-13,5.6478074129165114e-11,-8.021919258383113e-12,5.784782414772554e-11
88,10,12,10,1.1732639112617926e-12,1.1183500941785502e-11,-1.337883755872793e-15,7.969077260859713e-12
89,11,12,11,2.677172203971237e-13,2.282382037467803e-12,2.0233527289967215e-14,2.4393017129235473e-12
90,12,12,12,-2.8154178390025713e-15,2.6918080664779237e-13,-2.723841326543517e-14,3.0138941892577023e-13
91,0,13,0,0.006598930390437602,1.4897032468900272e-08,0.0,0.0
92,1,13,1,0.0007686709561150417,1.4894450320289305e-08,0.0006982934728240494,1.487922603429826e-08
93,2,13,2,4.308249423301779e-05,1.4892180539006097e-08,6.3136387599238e-06,1.4831678468784118e-08
94,3,13,3,3.1068437471745985e-06,1.478082238731931e-08,-1.7195814961487778e-06,1.4692675347527292e-08
95,4,13,4,2.0583455914303732e-07,8.921605783134425e-09,6.095476009095494e-08,1.4785612398899234e-08
96,5,13,5,5.10164584247845e-08,1.4715083181121224e-08,-4.3449914323247666e-08,1.4147023592595858e-08
97,6,13,6,-2.1597155655687802e-10,1.4306700853843046e-08,4.2019185827641185e-09,1.4746515113572593e-08
98,7,13,7,-3.2419546736850124e-10,4.089491470440845e-09,3.3283319626940547e-10,3.4243306603324686e-09
99,8,13,8,1.7075560958488998e-11,2.9380296895343724e-10,6.420594450443428e-12,4.069095100480858e-10
100,9,13,9,-3.119876268471187e-12,2.8740663648139473e-11,-4.2150897442273264e-12,2.6803981535768713e-11
101,10,13,10,-1.0385309625479987e-13,2.457048535426924e-12,1.4286778986359727e-13,2.886841969879521e-12
102,11,13,11,2.3657185151475925e-14,3.934985206739616e-13,-2.38117779847477e-14,4.665893509369472e-13
103,12,13,12,5.176651820394498e-15,9.997917974679597e-14,5.8128192692390385e-15,8.048529089381655e-14
104,13,13,13,1.3119064973755169e-15,8.078311478850103e-15,-1.8582398984535416e-15,1.4256297712916084e-14
105,0,14,0,-0.0023166822933108596,1.4894362560154227e-08,0.0,0.0
106,1,14,1,0.0005496349041320343,1.4891682549092106e-08,-0.0006542324933263544,1.4891730588183423e-08
107,2,14,2,-7.397693194857518e-06,1.486150703065484e-08,3.626503766458196e-05,1.4789802152943621e-08
108,3,14,3,-7.879218814592996e-07,1.4780439573710802e-08,-2.449985614656867e-06,1.4800507856924267e-08
109,4,14,4,-3.524622145345153e-07,1.138451307880821e-08,8.172196984871435e-08,1.4817978402021789e-08
110,5,14,5,1.4681940584998896e-08,1.4892293518901333e-08,1.2208112874940235e-09,1.4823397526347399e-08
111,6,14,6,1.2551099197517483e-09,1.472867650153529e-08,-2.1012292250846627e-09,1.3295038626074642e-08
112,7,14,7,1.0413690797765267e-10,2.1757103907816584e-09,-6.3744016193016e-11,1.7930642496353624e-09
113,8,14,8,1.420346353580226e-12,1.1647295218142228e-10,7.718570510141579e-12,1.8805772111171557e-10
114,9,14,9,-7.028271498785726e-13,1.6940366282139616e-11,3.424160100115308e-13,1.0482559159864568e-11
115,10,14,10,-2.0584864921084602e-13,1.118084412682982e-12,-6.3230444851569e-14,1.1994260578310326e-12
116,11,14,11,-5.1180390040718515e-15,1.1577374031289142e-13,8.295762540223345e-15,9.84426402700324e-14
117,12,14,12,1.112480305241766e-15,1.6938720570453153e-14,1.4486891334980152e-16,1.46299105644767e-14
118,13,14,13,1.577667324424872e-16,2.32687348606994e-15,1.4371197121403747e-16,3.727876643168598e-15
119,14,14,14,2.4157451501226764e-17,5.14521107082398e-16,-3.1229395711050003e-17,1.4149059608009045e-16
120,0,15,0,-0.0008823420543995215,1.4899613753027864e-08,0.0,0.0
121,1,15,1,-0.00033190706612096086,1.4849823890869303e-08,-7.256286610497119e-05,1.4892445832543841e-08
